epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.6516895294189453,0.05449591280653951,0.0,0,384
2,3.5963404973347983,0.05722070844686648,0.0,0,384
3,3.56567374865214,0.07629427792915532,0.0,0,384
4,3.5268805027008057,0.1008174386920981,0.0,0,384
5,3.50315268834432,0.11989100817438691,0.0,0,384
6,3.4524502754211426,0.13896457765667575,0.0,0,384
7,3.4064294497172036,0.17438692098092642,0.0,0,384
8,3.368000348409017,0.1880108991825613,0.0,0,384
9,3.350789229075114,0.2125340599455041,0.0,0,384
10,3.3082387447357178,0.25340599455040874,0.0,0,384
11,3.2792659600575766,0.2997275204359673,0.0,0,384
12,3.252851406733195,0.329700272479564,0.0,0,384
13,3.2159183820088706,0.35149863760217986,0.0,0,384
14,3.186776638031006,0.3678474114441417,0.0,0,384
15,3.1722773710886636,0.39509536784741145,0.0,0,384
16,3.118309577306112,0.4114441416893733,0.0,0,384
17,3.10943603515625,0.4223433242506812,0.0,0,384
18,3.0684502919514975,0.444141689373297,0.0,0,384
19,3.020941178003947,0.46321525885558584,0.0,0,384
20,2.992205778757731,0.4986376021798365,0.0,0,384
21,2.9687440395355225,0.5013623978201635,0.0,0,384
22,2.9226056734720864,0.5177111716621253,0.0,0,384
23,2.909902334213257,0.5340599455040872,0.0,0,384
24,2.9015520413716636,0.5367847411444142,0.0,0,384
25,2.8450220425923667,0.547683923705722,0.0,0,384
26,2.8083349068959556,0.555858310626703,0.0,0,384
27,2.7929847240448,0.55858310626703,0.0,0,384
28,2.7635498046875,0.5694822888283378,0.0,0,384
29,2.7101174195607505,0.5640326975476839,0.0,0,384
30,2.6930251916249595,0.5749318801089919,0.0,0,384
