epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.46919584274292,0.5776566757493188,0.0,0,1656
2,2.959579247694749,0.7983651226158038,0.0,0,1656
3,2.321165231557993,0.8365122615803815,0.0,0,1656
4,1.6648963139607356,0.8692098092643051,0.0,0,1656
5,1.1504683219469511,0.888283378746594,0.011800902967269603,2,1656
6,0.8407994921390827,0.9100817438692098,0.052392579400195524,67,1656
7,0.6206425130367279,0.9182561307901907,0.03567807963834359,173,1656
8,0.4554923245540032,0.9237057220708447,0.03934485350663845,335,1656
9,0.3363369542818803,0.9264305177111717,0.03476081043481827,478,1656
10,0.2670113490178035,0.9346049046321526,0.03566573617550043,641,1656
11,0.2077571417276676,0.9373297002724795,0.033574698063043446,766,1656
12,0.17042162670538977,0.9427792915531336,0.030042946052092772,862,1656
13,0.15009469710863554,0.9264305177111717,0.027961972097937878,934,1656
14,0.11041364990747891,0.9318801089918256,0.02591769999036422,1037,1656
15,0.09277331714446728,0.9400544959128065,0.023129606189636085,1069,1656
16,0.08494040427299646,0.9400544959128065,0.020382190123200417,1147,1656
17,0.07754777744412422,0.9455040871934605,0.020850699824782517,1159,1656
18,0.07681410559094869,0.9373297002724795,0.021120234894064758,1204,1656
19,0.0564830145583703,0.9400544959128065,0.017616070806980133,1248,1656
20,0.05077975100049606,0.9373297002724795,0.018036976886483338,1299,1656
21,0.04748350324539038,0.9400544959128065,0.016315526543901518,1308,1656
22,0.04299889762814228,0.9455040871934605,0.014427452634733457,1332,1656
23,0.03646161722449156,0.9400544959128065,0.01411682403144928,1347,1656
24,0.03765785522185839,0.9400544959128065,0.014330673676270705,1386,1656
25,0.032035402667063936,0.9346049046321526,0.012813796575825948,1383,1656
26,0.03376025090423914,0.9346049046321526,0.01236787004969441,1421,1656
27,0.0299403049911444,0.9427792915531336,0.012749115005135536,1415,1656
28,0.026287589508753557,0.9482288828337875,0.01047713216394186,1445,1656
29,0.02603854539875801,0.9373297002724795,0.010547546526560416,1460,1656
30,0.022983066809292022,0.9346049046321526,0.010424476045255478,1480,1656
