epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.632907231648763,0.02452316076294278,,,
2,3.598244825998942,0.035422343324250684,,,
3,3.5574115912119546,0.07084468664850137,0.0,0,384
4,3.5262154738108316,0.10626702997275204,0.0,0,384
5,3.482419808705648,0.12534059945504086,0.0,0,384
6,3.4538304011027017,0.14986376021798364,0.0,0,384
7,3.4219361941019693,0.17983651226158037,0.0,0,384
8,3.3854220708211265,0.22070844686648503,0.0,0,384
9,3.3619697093963623,0.2506811989100817,0.0,0,384
10,3.315244436264038,0.28065395095367845,0.0,0,384
11,3.2891992727915444,0.3106267029972752,0.0,0,384
12,3.2527621587117515,0.3405994550408719,0.0,0,384
13,3.2363120714823403,0.3678474114441417,0.0,0,384
14,3.1855061848958335,0.4032697547683924,0.0,0,384
15,3.144615968068441,0.44959128065395093,0.0,0,384
16,3.1267971992492676,0.4713896457765668,0.0,0,384
17,3.086821715037028,0.5040871934604905,0.0,0,384
18,3.07115372021993,0.5095367847411444,0.0,0,384
19,3.0231963793436685,0.5258855585831063,0.0,0,384
20,2.9997381369272866,0.5504087193460491,0.0,0,384
21,2.966073910395304,0.5613079019073569,0.0,0,384
22,2.928860664367676,0.5831062670299727,0.0,0,384
23,2.9086736043294272,0.5940054495912807,0.0,0,384
24,2.8701425393422446,0.6130790190735694,0.0,0,384
25,2.8533219496409097,0.6185286103542235,0.0,0,384
26,2.828861951828003,0.6267029972752044,0.0,0,384
27,2.778446594874064,0.6294277929155313,0.0,0,384
28,2.7592275937398276,0.6485013623978202,0.0,0,384
29,2.716168244679769,0.662125340599455,0.0,0,384
30,2.7077892621358237,0.667574931880109,0.0,0,384
