epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.5663719177246094,0.17166212534059946,,,
2,3.4466278002812314,0.34877384196185285,,,
3,3.3273721841665416,0.46321525885558584,,,
4,3.207509242571317,0.5667574931880109,,,
5,3.10474025286161,0.6485013623978202,0.0,0,1656
6,2.992761942056509,0.6811989100817438,0.0,0,1656
7,2.8818465012770433,0.7275204359673024,0.0,0,1656
8,2.7809262459094706,0.779291553133515,0.0,0,1656
9,2.686992700283344,0.8092643051771117,0.0,0,1656
10,2.597043220813458,0.8147138964577657,0.0,0,1656
11,2.4877310349391055,0.8392370572207084,0.0,0,1656
12,2.3985528212327223,0.8474114441416893,0.0,0,1656
13,2.3016414092137265,0.8528610354223434,0.0,0,1656
14,2.2315374521108775,0.8610354223433242,0.0,0,1656
15,2.372249126434326,0.8773841961852861,0.22443622809190017,1,1656
16,2.265406241783729,0.8828337874659401,0.19418797126183143,1,1656
17,2.4362215170493493,0.885558583106267,0.436938817684467,2,1656
18,2.8403750474636373,0.888283378746594,0.9147488887493427,7,1656
19,2.884120537684514,0.8937329700272479,1.027578904078557,7,1656
20,4.188824745324942,0.5694822888283378,2.3917873272529016,27,1656
21,4.2943705045259914,0.5013623978201635,2.5582859974641066,45,1656
22,4.239368200302124,0.4877384196185286,2.544241730983441,62,1656
23,3.9168792504530687,0.46321525885558584,2.2699807790609507,95,1656
24,3.8903781450711765,0.48501362397820164,2.28714552292457,138,1656
25,3.7429859271416297,0.46321525885558584,2.165526958612295,153,1656
26,3.7311676282149095,0.45776566757493187,2.171215772628784,179,1656
27,3.5879869644458475,0.4550408719346049,2.0681675397432766,226,1656
28,3.4986225825089674,0.4822888283378747,2.0142933680461,261,1656
29,3.497612659747784,0.4659400544959128,2.0478833271906924,265,1656
30,3.450854778289795,0.4550408719346049,2.023484853597788,308,1656
