epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.6212058067321777,0.07548309178743962,,,
2,3.455411911010742,0.18840579710144928,,,
3,3.3155899047851562,0.3321256038647343,,,
4,3.1645190715789795,0.47252415458937197,,,
5,3.0143086115519204,0.5652173913043478,,,
6,2.8370261987050376,0.6289251207729468,,,
7,2.6914095878601074,0.6669685990338164,,,
8,2.5210115114847818,0.6977657004830918,,,
9,2.3631176153818765,0.7228260869565217,,,
10,2.2142299016316733,0.7439613526570048,,,
11,2.0470611254374185,0.759963768115942,,,
12,1.8723816474278767,0.7756642512077294,,,
13,1.6909404198328655,0.7895531400966184,,,
14,1.5784046252568562,0.8013285024154589,,,
15,1.4203286170959473,0.8131038647342995,,,
16,1.2884504397710164,0.8176328502415459,,,
17,1.1278988122940063,0.822463768115942,,,
18,1.0115098158518474,0.8275966183574879,,,
19,0.9195230801900228,0.8369565217391305,,,
20,0.7743599812189738,0.841183574879227,,,
21,0.7213467558224996,0.8432971014492754,,,
22,0.6396938562393188,0.8484299516908212,,,
23,0.5757274627685547,0.8526570048309179,,,
24,0.48990048964818317,0.8547705314009661,,,
25,0.47523078322410583,0.8583937198067633,,,
26,0.3996213475863139,0.8596014492753623,,,
27,0.3570897976557414,0.8589975845410628,,,
28,0.31347545981407166,0.8602053140096618,,,
29,0.3087736864884694,0.8608091787439613,,,
30,0.2667175034681956,0.8629227053140096,,,
