epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.6299450397491455,0.04087193460490463,,,
2,3.5820040702819824,0.07084468664850137,,,
3,3.551549752553304,0.08446866485013624,,,
4,3.521177132924398,0.11171662125340599,,,
5,3.4761789639790854,0.1335149863760218,0.0,0,384
6,3.422269900639852,0.17166212534059946,0.0,0,384
7,3.40024471282959,0.19346049046321526,0.0,0,384
8,3.376181125640869,0.22343324250681199,0.0,0,384
9,3.334754705429077,0.2615803814713896,0.0,0,384
10,3.2999187310536704,0.29155313351498635,0.0,0,384
11,3.270539919535319,0.3215258855585831,0.0,0,384
12,3.2455572287241616,0.35149863760217986,0.0,0,384
13,3.2149693171183267,0.3896457765667575,0.0,0,384
14,3.160924275716146,0.40054495912806537,0.0,0,384
15,3.151918331782023,0.444141689373297,0.0,0,384
16,3.103632609049479,0.4768392370572207,0.0,0,384
17,3.0709569454193115,0.5013623978201635,0.0,0,384
18,3.0505146185557046,0.5204359673024523,0.0,0,384
19,3.0195565223693848,0.5340599455040872,0.0,0,384
20,2.976092497507731,0.547683923705722,0.0,0,384
21,2.9590819676717124,0.553133514986376,0.0,0,384
22,2.926007111867269,0.55858310626703,0.0,0,384
23,2.88980499903361,0.5885558583106267,0.0,0,384
24,2.877264420191447,0.5994550408719346,0.0,0,384
25,2.808274745941162,0.6049046321525886,0.0,0,384
26,2.7993098894755044,0.6239782016348774,0.0,0,384
27,2.760744253794352,0.6267029972752044,0.0,0,384
28,2.7389429410298667,0.6267029972752044,0.0,0,384
29,2.6975716749827066,0.6485013623978202,0.0,0,384
30,2.6819283962249756,0.6512261580381471,0.0,0,384
