epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.564048638710609,0.11444141689373297,,,
2,3.4456895681527944,0.23433242506811988,,,
3,3.322991187755878,0.4114441416893733,0.0,0,1656
4,3.2073692908653846,0.5395095367847411,0.0,0,1656
5,3.094429896428035,0.6430517711171662,0.0,0,1656
6,2.9950132186596212,0.6893732970027248,0.0,0,1656
7,2.884647937921377,0.7329700272479565,0.0,0,1656
8,2.7874287091768704,0.7465940054495913,0.0,0,1656
9,3.496755544955914,0.782016348773842,0.8162226676940918,3,1656
10,3.986127578295194,0.6784741144414169,1.3966427399561956,9,1656
11,4.699922139828022,0.47956403269754766,2.207636759831355,23,1656
12,5.354193247281588,0.4141689373297003,2.9298684413616476,52,1656
13,5.156740592076228,0.40599455040871935,2.798381310242873,117,1656
14,5.053879077617939,0.4087193460490463,2.756325703400832,174,1656
15,4.886442844684307,0.4196185286103542,2.6528318845308743,256,1656
16,4.807536895458515,0.4305177111716621,2.6203779440659742,353,1656
17,4.746964014493502,0.4114441416893733,2.618157991996178,394,1656
18,4.711683640113244,0.4332425068119891,2.620450735092163,467,1656
19,4.651855615469126,0.41689373297002724,2.617039368702815,547,1656
20,4.547751169938308,0.4114441416893733,2.560796480912429,617,1656
21,4.517201056847205,0.4250681198910082,2.5695913571577806,667,1656
22,4.4330351169292745,0.4359673024523161,2.5413157022916355,730,1656
23,4.364730578202468,0.4305177111716621,2.5229365825653076,780,1656
24,4.302548151749831,0.4359673024523161,2.494765171637902,826,1656
25,4.236477668468769,0.43869209809264303,2.4780525794396033,869,1656
26,4.170166162344126,0.42779291553133514,2.4412192014547496,899,1656
27,4.113614284075224,0.444141689373297,2.4258862091944766,935,1656
28,4.060530424118042,0.444141689373297,2.4084904927473803,1011,1656
29,4.00304651260376,0.4359673024523161,2.388012776008019,1034,1656
30,3.92034099652217,0.4250681198910082,2.358777009523832,1049,1656
