epoch,loss,val_acc,unsup_loss,unsup_kept,unsup_seen
1,3.6142536799112954,0.04087193460490463,,,
2,3.575827201207479,0.0653950953678474,,,
3,3.537825663884481,0.07356948228882834,,,
4,3.5063211917877197,0.08174386920980926,,,
5,3.461120049158732,0.13896457765667575,0.0,0,384
6,3.431114991505941,0.17438692098092642,0.0,0,384
7,3.4058258533477783,0.20708446866485014,0.0,0,384
8,3.3588919639587402,0.23705722070844687,0.0,0,384
9,3.3409029642740884,0.2724795640326976,0.0,0,384
10,3.2935823599497476,0.3133514986376022,0.0,0,384
11,3.262343645095825,0.35967302452316074,0.0,0,384
12,3.2354158560434976,0.38419618528610355,0.0,0,384
13,3.2119863033294678,0.4087193460490463,0.0,0,384
14,3.1758604844411216,0.44141689373297005,0.0,0,384
15,3.13938045501709,0.4713896457765668,0.0,0,384
16,3.104486624399821,0.4822888283378747,0.0,0,384
17,3.0698248545328775,0.5040871934604905,0.0,0,384
18,3.0520613193511963,0.5258855585831063,0.0,0,384
19,3.0292015075683594,0.5286103542234333,0.0,0,384
20,2.9894670645395913,0.5504087193460491,0.0,0,384
21,2.9478421211242676,0.5667574931880109,0.0,0,384
22,2.932593027750651,0.5776566757493188,0.0,0,384
23,2.9089094003041587,0.5749318801089919,0.0,0,384
24,2.8530933062235513,0.5858310626702997,0.0,0,384
25,2.830525000890096,0.5858310626702997,0.0,0,384
26,2.799376885096232,0.6212534059945504,0.0,0,384
27,2.7835853099823,0.6239782016348774,0.0,0,384
28,2.735842784245809,0.6376021798365122,0.0,0,384
29,2.7054941654205322,0.6403269754768393,0.0,0,384
30,2.690772215525309,0.6485013623978202,0.0,0,384
